Field,year,NDVI_moyen,NDWI_moyen,EVI_moyen,LAI_moyen,NDVI_max,NDWI_max,EVI_max,LAI_max
F8,,0.5574763886692425,-0.5483624572159777,1.8555674403018432,1.898950126461034,0.9221097826957703,-0.020666666328907013,463.0769230769231,3.218193192272309
IRDA-38,,0.6557210039679414,-0.6146086562585957,2.0905167317038242,2.2543985826138115,0.9086654782295227,-0.4348320960998535,3.0658118337710487,3.169551718573503
F10,,0.46411557907748996,-0.4843514307183892,1.3755020416199866,1.5611701653232515,0.9374096989631653,-0.17436127364635468,12.055622732769045,3.273548387096774
IRDA-41,,0.24142124444620386,-0.24810375368620072,1.1140243942546086,0.7554620625351397,0.7099615931510925,-0.12485681474208832,4.0344827586206895,2.450641066184775
F1,,0.4090772855586755,-0.4215224926027486,1.3081047624251005,1.3620416164818925,0.9368420839309692,-0.13880783319473267,6.5961049957663,3.2714947368421052
F3,,0.4008914764078255,-0.3844222127659452,1.4703611121275681,1.3324262121690562,0.8923890590667725,-0.0574478916823864,19.24418604651163,3.1106636008277766
IRDA-80,,0.5186707742723754,-0.5062155908141225,1.6120147396842022,1.7585508562719034,0.8359621167182922,-0.2787863612174988,3.851741293532338,2.906511041009464
F2,,0.3853985861788892,-0.3818502817353955,1.3915582771520087,1.2763892619622441,0.9435248374938965,-0.029702970758080482,575.0,3.2956728334956185
F5,,0.43115696426521416,-0.4456326803918978,1.196837306554815,1.4419258958172225,0.9372037649154663,-0.05205751210451126,362.0,3.272803317535545
IRDA-32,,0.11817851751354133,-0.15546830444346796,0.5192771943411423,0.30956987466717373,0.35477179288864136,-0.09765625,1.424588792863117,1.1655643466711045
F4,,0.43418215978261865,-0.4736516029471499,1.2926244304644225,1.4528710541183485,0.9006987810134888,-0.170111283659935,46.206896551724135,3.140728208900331
IRDA-35,,0.23748875155273177,-0.2632486061389702,0.8437482438009564,0.741234304109773,0.8803076148033142,-0.1122320294380188,2.5912803857888003,3.066952858575727
F7,,0.4998284622550049,-0.5083186539866666,1.4394181855775228,1.690379376515919,0.9412247538566589,-0.09603408724069595,3215.0,3.287351173863077
F6,,0.482377642841068,-0.4934846755220609,1.667161717636617,1.6272423054987368,0.900898814201355,-0.16274510324001312,184.0909090909091,3.1414519097805025
F9,,0.49389718441192615,-0.4973276237823459,1.5264850918429334,1.6689200120418046,0.8872905969619751,-0.17498496174812317,3.7271103171058506,3.0922172956507024
IRDA-36,,0.6416853307463944,-0.6103490040297702,1.9797821877452904,2.203617519355764,0.8982755541801453,-0.44647201895713806,2.9770902220122815,3.1319609550237657
