region,zone,yield_kg_ha,year,yield_tpha
6,1,10336,2010,10.336
6,1,9019,2011,9.019
6,1,9344,2012,9.344
6,1,9010,2013,9.01
6,1,8481,2014,8.481
6,1,10500,2015,10.5
6,1,11613,2016,11.613
6,1,11672,2017,11.672
6,1,11083,2018,11.083
6,1,8672,2019,8.672
6,1,9271,2020,9.271
6,1,11177,2021,11.177
6,1,11506,2022,11.506
6,1,10229,2023,10.229
6,2,10119,2010,10.119
6,2,8075,2011,8.075
6,2,9274,2012,9.274
6,2,9653,2013,9.653
6,2,8728,2014,8.728
6,2,11956,2015,11.956
6,2,12124,2016,12.124
6,2,11085,2017,11.085
6,2,11239,2018,11.239
6,2,8931,2019,8.931
6,2,9270,2020,9.27
6,2,10256,2021,10.256
6,2,12228,2022,12.228
6,2,11247,2023,11.247
6,3,10422,2010,10.422
6,3,8927,2011,8.927
6,3,9828,2012,9.828
6,3,10901,2013,10.901
6,3,9510,2014,9.51
6,3,12317,2015,12.317
6,3,12562,2016,12.562
6,3,12794,2017,12.794
6,3,11571,2018,11.571
6,3,8983,2019,8.983
6,3,10968,2020,10.968
6,3,11636,2021,11.636
6,3,12850,2022,12.85
6,3,11218,2023,11.218
6,5,10268,2010,10.268
6,5,8848,2011,8.848
6,5,10466,2012,10.466
6,5,11770,2013,11.77
6,5,10266,2014,10.266
6,5,12929,2015,12.929
6,5,12764,2016,12.764
6,5,13397,2017,13.397
6,5,12780,2018,12.78
6,5,8384,2019,8.384
6,5,11501,2020,11.501
6,5,12236,2021,12.236
6,5,12896,2022,12.896
6,5,11814,2023,11.814
